log_A_evap_MT,cumulative probability
-1.9267206480881964,9.977251865746099e-07
-1.8986765984193898,1.9954503731492198e-06
-1.8706325487505833,8.979526679171489e-06
-1.8425884990817765,2.1949954104641416e-05
-1.8145444494129697,4.190445783613361e-05
-1.786500399744163,7.582711417967035e-05
-1.7584563500753565,0.00012870654906812468
-1.7304123004065497,0.00021052001436724268
-1.7023682507377431,0.00035419244123398655
-1.6743242010689363,0.0005607215548549308
-1.6462801514001297,0.0008510595841481422
-1.618236101731323,0.0012900586662409706
-1.5901920520625163,0.001856766572215349
-1.5621480023937098,0.0026559444466616117
-1.534103952724903,0.0037155285948038473
-1.5060599030560964,0.005009578161791116
-1.4780158533872896,0.006653829269266073
-1.449971803718483,0.008756036237378776
-1.4219277540496762,0.011408987508480664
-1.3938837043808696,0.014501935586861955
-1.365839654712063,0.01816458474677735
-1.3377956050432562,0.02254060741509359
-1.3097515553744496,0.027542203775392106
-1.2817075057056428,0.03315041704912799
-1.2536634560368363,0.03943608572454803
-1.2256194063680295,0.04662170251825837
-1.1975753566992229,0.05472123558287105
-1.1695313070304163,0.0634313764616674
-1.1414872573616095,0.07305742906173923
-1.113443207692803,0.08342379375024943
-1.0853991580239961,0.09469409745779622
-1.0573551083551895,0.10675260406273696
-1.0293110586863827,0.11964720437402722
-1.0012670090175761,0.133291096300435
-0.9732229593487693,0.1480793790158439
-0.9451789096799628,0.16343935826316
-0.9171348600111561,0.1796484016442511
-0.8890908103423494,0.19648900506844397
-0.8610467606735427,0.21403899110029134
-0.833002711004736,0.23187532426068563
-0.8049586613359293,0.2506136009897434
-0.7769146116671227,0.2700373149219779
-0.748870561998316,0.29000478908089555
-0.7208265123295093,0.31034840563515187
-0.6927824626607026,0.3312098415612404
-0.664738412991896,0.35252923334796665
-0.6366943633230893,0.37460490082611647
-0.6086503136542826,0.397084647004829
-0.580606263985476,0.4198627130143273
-0.5525622143166693,0.4429929760146865
-0.5245181646478626,0.46687452608053637
-0.4964741149790559,0.49087680089396174
-0.4684300653102492,0.5150756275691424
-0.44038601564144253,0.5396476034641019
-0.41234196597263584,0.5642734565191364
-0.38429791630382926,0.5889402163068205
-0.35625386663502256,0.6136478828271541
-0.3282098169662159,0.6379255297920741
-0.3001657672974092,0.6624156922217345
-0.2721217176286025,0.6863441353713533
-0.2440776679597958,0.7100201540487688
-0.2160336182909891,0.7328590812946483
-0.1879895686221824,0.7553498024504132
-0.15994551895337572,0.7770752683880753
-0.13190146928456914,0.7978030091391628
-0.10385741961576245,0.8175639541844595
-0.07581336994695576,0.8366314802250868
-0.04776932027814906,0.8544608293091751
-0.01972527060934237,0.8712555373747856
0.00831877905946432,0.886987668116694
0.03636282872827101,0.9016402602067288
0.0644068783970777,0.9150446980883588
0.09245092806588429,0.9272887815780023
0.12049497773469087,0.9383096539889054
0.14853902740349767,0.9481811469848747
0.17658307707230447,0.9569591331763581
0.20462712674111105,0.9647134533264159
0.23267117640991763,0.9716476433731094
0.26071522607872444,0.9775372151494593
0.28875927574753124,0.9825497864868102
0.3168033254163378,0.9865686235383327
0.3448473750851444,0.989928961966716
0.3728914247539512,0.9925519814822207
0.4009354744227578,0.9946721475036917
0.42897952409156437,0.9963253781378458
0.45702357376037117,0.9976014686514748
0.485067623429178,0.9984305782815183
0.5131116730979846,0.9990232270423436
0.5411557227667911,0.9994532465977572
0.5691997724355979,0.99971165742108
0.5972438221044045,0.999845352596081
0.6252878717732111,0.9999231751606338
0.6533319214420179,0.999960090992537
0.6813759711108247,0.999986031847388
0.7094200207796313,0.9999940136488806
0.7374640704484379,0.9999970068244404
0.7655081201172447,0.999998004549627
0.7935521697860513,0.9999990022748135
0.8215962194548578,0.9999990022748135
0.8496402691236645,1.0
