name,First-order Sobol indices,Total-order Sobol indices  
alpha,0.658038,0.659992  
phi,0.185995,0.188113  
Q,0.071273,0.072122  
f_single_phase,0.030218,0.031529  
T5_prime,0.025122,0.026375  
eta_is,0.010124,0.011070  
T1_prime,0.008587,0.010087  
h_evaporation,0.000492,0.002944  
T3_prime,0.001061,0.002405  
beta,0.000185,0.002018  
h_single_phase,0.000048,0.001259  
f_condensation,0.000009,0.000968  
h_supercritical,0.000013,0.000858  
f_evaporation,0.000004,0.000824  
f_supercritical,0.000018,0.000794  
gamma,0.000005,0.000749  
h_condensation,0.000003,0.000564  
