log_A_GasCooler,cumulative probability
-0.44329515353758187,9.977251865746099e-07
-0.4003741396220897,9.977251865746099e-07
-0.3574531257065974,1.9954503731492198e-06
-0.3145321117911052,4.988625932873049e-06
-0.2716110978756129,4.988625932873049e-06
-0.22869008396012067,5.986351119447659e-06
-0.18576907004462842,6.9840763060222685e-06
-0.14284805612913618,8.979526679171489e-06
-0.09992704221364393,1.3968152612044539e-05
-0.057006028298151684,1.6961328171768368e-05
-0.014085014382659439,2.7936305224089077e-05
0.028835999532832807,5.08839845153051e-05
0.07175701344832508,8.380891567226723e-05
0.11467802736381733,0.0001526519535459153
0.15759904127930952,0.00024444267071077944
0.20052005519480176,0.0004110627768687393
0.24344106911029406,0.0006385441194077503
0.2863620830257863,0.0010116933391866544
0.3292830969412785,0.0015764057947878834
0.37220411085677074,0.0023566268906892282
0.41512512477226304,0.0035838288701759984
0.4580461386877553,0.005392704633435766
0.5009671526032475,0.007997765095582072
0.5438881665187397,0.011623498423594204
0.586809180434232,0.01654228359340703
0.6297301943497243,0.023209083290098576
0.6726512082652165,0.032043939817216746
0.7155722221807087,0.043183541525322264
0.758493236096201,0.05751486610527996
0.8014142500116932,0.07465678253581834
0.8443352639271854,0.095567106996049
0.8872562778426777,0.11977591092309534
0.93017729175817,0.147359021431137
0.9730983056736623,0.17870654906812466
1.0160193195891545,0.21299636828032087
1.0589403335046468,0.24985532984794667
1.1018613474201389,0.28947499700682444
1.1447823613356312,0.3305902542203775
1.1877033752511235,0.37309933351957536
1.2306243891666155,0.41648142235702595
1.273545403082108,0.45974278644690103
1.3164664169976001,0.5034860518018917
1.3593874309130924,0.546542882228519
1.4023084448285847,0.5884682922935707
1.4452294587440768,0.6291385640739114
1.4881504726595691,0.6681526120445385
1.5310714865750614,0.7052011413976135
1.5739925004905537,0.7397304146545876
1.6169135144060458,0.772525641537295
1.659834528321538,0.8026798898511394
1.7027555422370304,0.8299447260246637
1.7456765561525227,0.8550095781617911
1.788597570068015,0.8772019794867701
1.831518583983507,0.8970148062417688
1.8744395978989994,0.91416171129824
1.9173606118144917,0.9293899908209282
1.9602816257299838,0.9422416889491958
2.003202639645476,0.953464101847787
2.0461236535609686,0.9626880711976692
2.0890446674764602,0.9705361775152651
2.1319656813919527,0.9767899189847148
2.1748866953074453,0.9818593606577004
2.2178077092229374,0.985906134014447
2.2607287231384294,0.9892285588857405
2.303649737053922,0.9918206489204613
2.346570750969414,0.9938240810951031
2.389491764884906,0.995353593806122
2.4324127788003986,0.9965049686714291
2.475333792715891,0.9973709941333759
2.518254806631383,0.9980823721914036
2.5611758205468753,0.9985962006624896
2.604096834462368,0.9989513908289102
2.6470178483778595,0.9992267629804048
2.689938862293352,0.9994382807199587
2.7328598762088445,0.9995929281238777
2.775780890124336,0.9996996847188412
2.8187019040398287,0.9997904777108195
2.861622917955321,0.9998473480464543
2.9045439318708133,0.9998772798020515
2.9474649457863054,0.9999122001835816
2.990385959701798,0.9999341501376863
3.03330697361729,0.9999541046414178
3.076227987532782,0.9999690705192164
3.1191490014482746,0.9999780500458956
3.162070015363767,0.9999860318473882
3.2049910292792587,0.9999900227481345
3.2479120431947512,0.9999930159236943
3.2908330571102438,0.9999950113740674
3.3337540710257354,0.999996009099254
3.376675084941228,0.9999980045496272
3.4195960988567204,0.9999980045496272
3.462517112772212,0.9999980045496272
3.5054381266877046,0.9999990022748138
3.548359140603197,0.9999990022748138
3.591280154518689,0.9999990022748138
3.6342011684341813,0.9999990022748138
3.677122182349674,0.9999990022748138
3.720043196265166,0.9999990022748138
3.762964210180658,0.9999990022748138
3.8058852240961505,1.0000000000000002
