name,First-order Sobol indices,Total-order Sobol indices  
alpha,0.433289,0.433289  
beta,0.108837,0.108837  
phi,0.090703,0.090703  
f_single_phase,0.072812,0.072812  
T5_prime,0.061183,0.061183  
Q,0.058406,0.058406  
h_evaporation,0.043533,0.043533  
f_supercritical,0.039834,0.039834  
eta_is,0.034081,0.034081  
h_condensation,0.014361,0.014361  
f_evaporation,0.014322,0.014322  
h_single_phase,0.010790,0.010790  
T1_prime,0.009793,0.009793  
h_supercritical,0.005720,0.005720  
f_condensation,0.002333,0.002333  
gamma,0.000002,0.000002  
T3_prime,0.000000,0.000000  
