h_single_phase,h_evaporation,h_condensation,h_supercritical,f_single_phase,f_evaporation,f_condensation,f_supercritical,beta,phi,gamma,eta_is,Q,alpha,T1_prime,T3_prime,T5_prime,log_A_evap_LT,log_A_evap_MT,log_A_GasCooler
0.6877431844718764,1.0070277922674766,0.9000368895574233,1.1359148589941017,0.9287936720261621,0.8625907063710093,1.0172986851277532,0.8300620266131616,58.33854675292969,1.2419998168945312,0.5823684692382813,0.6795333862304688,22260.055541992188,0.6655540466308594,282.2898864746094,318.94269409179685,358.8245910644531,-0.8601297846252707,-0.19026326780701608,1.247487470440937
0.7097542521470892,0.8642580373445075,1.1138173468493375,1.0788200856381922,1.06559775170181,0.8156250302451643,0.9295697206924513,0.9866577412231904,37.94792175292969,1.1498123168945311,0.5089309692382813,0.7467208862304688,23431.930541992188,0.2944602966308594,282.1336364746094,323.16144409179685,351.7933410644531,0.6076480985545331,-1.1157671105650464,1.5399605389878648
1.1140623339206133,0.9745922410598202,0.7085513079985974,1.247268919220792,0.9693550838611663,0.9460325464519438,1.026205477518562,0.881395989073171,30.447921752929688,1.2998123168945312,0.4589309692382813,0.5967208862304688,20931.930541992188,0.6694602966308594,287.1336364746094,308.16144409179685,356.7933410644531,-0.45755885090039183,-0.10812260790657721,0.9345482207664328
0.9110079984710036,1.2244848982479926,1.0097860236379732,0.9812913091778372,1.2098162361190592,1.1617145062048262,0.7778953374779696,1.0850140386406064,45.44792175292969,1.1998123168945312,0.5589309692382813,0.6967208862304688,25931.930541992188,0.4194602966308594,297.1336364746094,318.16144409179685,346.7933410644531,-0.02260414988720434,-0.35235714483322383,1.2482683928302654
1.058404736537347,0.7639041037204805,1.0582067387336438,1.140404301582294,1.0166000352871887,1.09397418476741,1.07623004805834,1.0339625561588626,34.19792175292969,1.1248123168945312,0.5339309692382813,0.6717208862304688,22181.930541992188,0.6069602966308594,294.6336364746094,310.66144409179685,344.2933410644531,-0.4423840418682633,-0.23116668079295383,0.8596437454318633
0.8454948134320952,1.0217888802078718,0.8451824182928129,0.9320901673062338,0.7441897251405571,0.8913862351218488,0.8706998953156955,0.7984809327640043,49.19792175292969,1.224812316894531,0.6339309692382813,0.5717208862304688,27181.930541992188,0.3569602966308594,284.6336364746094,320.66144409179685,354.2933410644531,-0.326389494353472,-0.893039836543784,1.4970648514242941
0.8811055900042294,0.9982128146790993,1.0335565339615231,0.6654867453739844,0.889942024672035,0.8580590613141466,0.902033911371733,1.0101827696488805,43.57292175292969,1.1373123168945312,0.6464309692382814,0.5842208862304688,27806.930541992188,0.5757102966308594,280.8836364746094,316.91144409179685,350.5433410644531,-0.49088980063450854,-0.4932297892495525,2.133414602158105
1.2698618115154705,0.8965714474453891,0.9375194732434105,0.9048220134265976,1.3130626812259132,0.9704848585735177,1.0025732679539943,1.1143459800716484,36.07292175292969,1.287312316894531,0.5964309692382813,0.7342208862304688,25306.930541992188,0.4507102966308594,285.8836364746094,321.91144409179685,355.5433410644531,0.10204335815019448,-0.10948670597340329,1.481344944063903
0.9864446092499608,1.0989410115381677,1.1482520336160316,1.1073351309830177,0.9930641026941275,1.212802889715474,0.6301943058465287,0.9112609967833849,51.07292175292969,1.1873123168945312,0.49643096923828134,0.6342208862304688,20306.930541992188,0.7007102966308594,295.8836364746094,311.91144409179685,345.5433410644531,-1.0214661446825968,-0.22427757752182714,0.6140147422678675
0.9377196466339712,0.8239369750666016,0.8808540742252258,0.8365096817202856,1.1597484873716424,1.1246454937792176,0.9549036278022899,0.8458551869806571,39.82292175292969,1.2623123168945312,0.5714309692382813,0.6592208862304688,29056.930541992188,0.6382102966308594,293.3836364746094,314.41144409179685,363.0433410644531,-0.34994418170672353,0.15890166133932482,2.099285072385726
1.0337448033594316,0.9503200703416208,1.2689407471306184,0.9572690764297783,0.813245003730367,1.017714587841009,1.050511008105041,0.962797774001446,32.32292175292969,1.112312316894531,0.6214309692382813,0.6092208862304688,26556.930541992188,0.2632102966308594,298.3836364746094,319.41144409179685,348.0433410644531,-0.03661226919956498,-1.1887270781217771,1.5463413982463736
