log_A_recup_LT,probability density
-3.316882562616115,2.7150313948055916e-05
-3.280486239980407,0.0
-3.244089917344699,0.00010860125579222366
-3.2076935947089913,0.0001629018836883375
-3.171297272073283,0.0003529540813247269
-3.134900949437575,0.0004072547092208437
-3.098504626801867,0.0005430062789611184
-3.062108304166159,0.000543006278961125
-3.025711981530451,0.0014932672671430756
-2.9893156588947427,0.0016833194647794668
-2.9529193362590345,0.0030136848482342437
-2.916523013623327,0.0037738936387798185
-2.880126690987619,0.006108820638312581
-2.8437303683519106,0.00830799606810511
-2.8073340457162024,0.0108601255792225
-2.7709377230804946,0.014688319845898253
-2.7345414004447868,0.020226983891301904
-2.6981450778090785,0.025114040401951723
-2.6617487551733703,0.033530637725849056
-2.625352432537662,0.042381640072915804
-2.5889561099019547,0.05345896816372275
-2.5525597872662464,0.06673547168432145
-2.516163464630538,0.08199394812312888
-2.47976714199483,0.09562340572505411
-2.443370819359122,0.11612189275583516
-2.4069744967234143,0.1364846282168788
-2.370578174087706,0.15967099632851683
-2.334181851451998,0.18190710345197467
-2.2977855288162896,0.207075444481825
-2.2613892061805823,0.2314564264071795
-2.224992883544874,0.2624892352498046
-2.1885965609091658,0.29430940319692617
-2.1522002382734575,0.3234416900631941
-2.11580391563775,0.35621211899849803
-2.079407593002042,0.39234918686335607
-2.0430112703663337,0.42091131713671087
-2.0066149477306254,0.452269929746721
-1.9702186250949176,0.4859363190423048
-1.9338223024592094,0.5186524473497154
-1.8974259798235016,0.552373137273201
-1.8610296571877933,0.5846548605574398
-1.8246333345520855,0.6159591725395483
-1.7882370119163773,0.6376794236979932
-1.7518406892806695,0.6641238294833999
-1.7154443666449612,0.7040347909870422
-1.6790480440092534,0.7276827144357991
-1.6426517213735452,0.7565706484765308
-1.6062553987378374,0.7829336033200933
-1.5698590761021292,0.793902330155103
-1.533462753466421,0.8239034270677099
-1.4970664308307131,0.8327544294147762
-1.4606701081950049,0.8425285424360764
-1.424273785559297,0.8467639914119732
-1.3878774629235888,0.8608278540370662
-1.351481140287881,0.8520854529457922
-1.3150848176521728,0.8377229368672654
-1.2786884950164648,0.8348178532748335
-1.2422921723807567,0.8159483850809245
-1.2058958497450487,0.7856757850288517
-1.1694995271093407,0.7677022771952291
-1.1331032044736327,0.7266510025057775
-1.0967068818379246,0.6826403435959699
-1.0603105592022166,0.6384396324885427
-1.0239142365665086,0.5944018232647882
-0.9875179139308004,0.5469973751114826
-0.9511215912950923,0.498126810004988
-0.9147252686593843,0.4444234890157273
-0.8783289460236763,0.39395105538629616
-0.8419326233879683,0.34839282858145354
-0.8055363007522602,0.30565823442721723
-0.7691399781165522,0.25887824349471317
-0.7327436554808442,0.22303982908328207
-0.6963473328451362,0.18149984874275382
-0.6599510102094281,0.15223181030675137
-0.6235546875737201,0.12402263411471943
-0.5871583649380119,0.09956020124752105
-0.5507620423023039,0.078681609821467
-0.5143657196665958,0.062418571766580555
-0.4779693970308878,0.04563967774668255
-0.4415730743951798,0.03749458356226522
-0.40517675175947176,0.028480679331511004
-0.36878042912376374,0.019982631065769155
-0.3323841064880557,0.015584280206184287
-0.2959877838523477,0.010697223695534032
-0.2595914612166397,0.008117943870468818
-0.22319513858093165,0.005755866556987854
-0.1867988159452234,0.004262599289844779
-0.15040249330951538,0.0029050835924420188
-0.11400617067380736,0.0018190710345197464
-0.07760984803809934,0.0007873591044936311
-0.041213525402391316,0.0009231106742339011
-0.004817202766683293,0.0006787578487014062
0.03157911986902473,0.00038010439527278285
0.06797544250473275,0.00021720251158444999
0.10437176514044078,0.0001357515697402796
0.1407680877761488,0.00013575156974028125
0.17716441041185682,0.0001357515697402796
0.21356073304756507,5.430062789611183e-05
0.2499570556832731,0.0
0.2863533783189809,2.715031394805629e-05
