log_A_recup_MT,cumulative probability
-3.7087639143039213,1.9763431722284257e-06
-3.6515498009374108,1.9763431722284257e-06
-3.5943356875709007,2.9645147583426385e-06
-3.53712157420439,3.952686344456851e-06
-3.47990746083788,3.952686344456851e-06
-3.4226933474713697,4.940857930571065e-06
-3.3654792341048596,5.929029516685278e-06
-3.308265120738349,1.1858059033370556e-05
-3.251051007371839,1.3834402205598982e-05
-3.1938368940053286,1.8775260136170047e-05
-3.1366227806388185,3.260966234176903e-05
-3.079408667272308,4.8420407719596434e-05
-3.022194553905798,7.411286895856598e-05
-2.9649804405392874,0.00011660424716147713
-2.9077663271727774,0.00015415476743381722
-2.850552213806267,0.00022135043528958372
-2.793338100439757,0.0003043568485231776
-2.7361239870732463,0.00040811486506516994
-2.6789098737067363,0.000538553514432246
-2.621695760340226,0.0006956727966244059
-2.5644816469737157,0.0009150468887417612
-2.5072675336072052,0.0011946994476120833
-2.450053420240695,0.0015445121890965145
-2.3928393068741847,0.0020208108936035653
-2.3356251935076746,0.0025988912714803797
-2.278411080141164,0.00335187802009941
-2.221196966774654,0.004275818453116199
-2.1639828534081436,0.005438896409972627
-2.1067687400416335,0.006932023676591203
-2.049554626675123,0.008799667974347065
-1.992340513308613,0.011118906686957123
-1.9351263999421024,0.013955947310691028
-1.8779122865755924,0.01749063707422157
-1.820698173209082,0.021847485597399133
-1.7634840598425716,0.027302192752749588
-1.7062699464760613,0.03390614346275087
-1.6490558331095513,0.0420289139006097
-1.591841719743041,0.05191952330602685
-1.5346276063765305,0.06382797909028923
-1.4774134930100202,0.0783709003231321
-1.4201993796435102,0.09600976313527079
-1.362985266277,0.11704398351729793
-1.3057711529104894,0.141529887249622
-1.2485570395439791,0.17020761485024258
-1.191342926177469,0.20294672766979255
-1.1341288128109588,0.2401276717689259
-1.0769146994444483,0.28136209571429976
-1.019700586077938,0.3265610640631639
-0.962486472711428,0.37574335207565435
-0.9052723593449177,0.427522555016453
-0.8480582459784072,0.4810607033805349
-0.7908441326118969,0.5357174619800982
-0.7336300192453868,0.5905372688913703
-0.6764159058788766,0.6436445744439064
-0.6192017925123661,0.6940284791051118
-0.5619876791458558,0.7415377926223109
-0.5047735657793457,0.784184313764242
-0.44755945241283546,0.822521418619129
-0.39034533904632496,0.8561508740377679
-0.3331312256798147,0.8851260412858089
-0.2759171123133046,0.9092818957083708
-0.21870299894679435,0.9293180627884225
-0.16148888558028385,0.9452572704724448
-0.10427477221377357,0.9580738559443461
-0.047060658847263515,0.9681887802998113
0.010153454519246763,0.9761109519056889
0.06736756788575726,0.9822109351067719
0.12458168125226754,0.9868009921242724
0.1817957946187776,0.9902279711849165
0.2390099079852881,0.9927280452977855
0.2962240213517986,0.9946569562338804
0.35343813471830865,0.9960087749636847
0.4106522480848187,0.9970641422176546
0.46786636145132876,0.9978744429182682
0.5250804748178393,0.9984465942666283
0.5822945881843498,0.9988892951372075
0.6395087015508598,0.9991926638141445
0.6967228149173703,0.9994545292844648
0.7539369282838808,0.9996175775961736
0.8111510416503909,0.99972528829906
0.8683651550169009,0.9997914957953297
0.925579268383411,0.9998339871735326
0.9827933817499215,0.9998853720960105
1.040007495116432,0.9999130409004217
1.097221608482942,0.9999397215332467
1.1544357218494525,0.9999575086217968
1.211649835215963,0.9999693666808301
1.268863948582473,0.9999733193671746
1.3260780619489831,0.9999812247398635
1.3832921753154932,0.9999861655977941
1.4405062886820037,0.9999920946273108
1.4977204020485142,0.9999930827988969
1.5549345154150243,0.9999950591420691
1.6121486287815348,0.9999950591420691
1.6693627421480453,0.9999970354852413
1.7265768555145553,0.9999990118284136
1.7837909688810654,0.9999990118284136
1.8410050822475754,0.9999990118284136
1.898219195614086,0.9999990118284136
1.9554333089805964,0.9999999999999997
