log_A_recup_LT,cumulative probability
-3.316882562616115,9.881715861142128e-07
-3.280486239980407,9.881715861142128e-07
-3.244089917344699,4.940857930571065e-06
-3.2076935947089913,1.0869887447256342e-05
-3.171297272073283,2.3716118066741108e-05
-3.134900949437575,3.85386918584543e-05
-3.098504626801867,5.830212358073856e-05
-3.062108304166159,7.806555530302282e-05
-3.025711981530451,0.00013241499253930454
-2.9893156588947427,0.00019368163087838574
-2.9529193362590345,0.00030336867693706336
-2.916523013623327,0.00044072452740693895
-2.880126690987619,0.0006630631342826369
-2.8437303683519106,0.000965443639633586
-2.8073340457162024,0.001360712274079271
-2.7709377230804946,0.0018953131021670602
-2.7345414004447868,0.0026315009338221487
-2.6981450778090785,0.0035455596509777953
-2.6617487551733703,0.004765951559828848
-2.625352432537662,0.006308487405753134
-2.5889561099019547,0.008254197258812018
-2.5525597872662464,0.010683123017480754
-2.516163464630538,0.013667401207545678
-2.47976714199483,0.017147741533839935
-2.443370819359122,0.021374151407650425
-2.4069744967234143,0.026341689971046574
-2.370578174087706,0.03215312706898426
-2.334181851451998,0.038773876695949484
-2.2977855288162896,0.046310661383242586
-2.2613892061805823,0.05473482415486625
-2.224992883544874,0.06428846704941846
-2.1885965609091658,0.07500024704289653
-2.1522002382734575,0.08677233514827515
-2.11580391563775,0.09973714635809362
-2.079407593002042,0.11401721394903011
-2.0430112703663337,0.12933683804855875
-2.0066149477306254,0.1457978003300493
-1.9702186250949176,0.16348409537832148
-1.9338223024592094,0.1823611371878613
-1.8974259798235016,0.20246548810735496
-1.8610296571877933,0.22374477504273843
-1.8246333345520855,0.2461634238169116
-1.7882370119163773,0.26937260985997613
-1.7518406892806695,0.2935442750279159
-1.7154443666449612,0.3191685524274436
-1.6790480440092534,0.3456535272784767
-1.6426517213735452,0.37318991669713536
-1.6062553987378374,0.4016858207259109
-1.5698590761021292,0.4305809460754766
-1.533462753466421,0.4605680010276985
-1.4970664308307131,0.49087719991699363
-1.4606701081950049,0.5215421405772899
-1.424273785559297,0.55236123600502
-1.3878774629235888,0.5836922043143572
-1.351481140287881,0.6147049813729657
-1.3150848176521728,0.6451950156625197
-1.2786884950164648,0.6755793155923595
-1.2422921723807567,0.7052768362698499
-1.2058958497450487,0.733872545628823
-1.1694995271093407,0.7618140853977885
-1.1331032044736327,0.7882615097285492
-1.0967068818379246,0.8131071079182189
-1.0603105592022166,0.8363439627656947
-1.0239142365665086,0.8579780033004931
-0.9875179139308004,0.8778866962459362
-0.9511215912950923,0.8960166803363736
-0.9147252686593843,0.9121920610294771
-0.8783289460236763,0.9265304307439943
-0.8419326233879683,0.9392106485370119
-0.8055363007522602,0.9503354842534857
-0.7691399781165522,0.9597577003270847
-0.7327436554808442,0.967875529907013
-0.6963473328451362,0.9744814569601865
-0.6599510102094281,0.9800221350435289
-0.6235546875737201,0.9845361028488986
-0.5871583649380119,0.9881597280551794
-0.5507620423023039,0.9910234493117384
-0.5143657196665958,0.993295255788215
-0.4779693970308878,0.994956372224473
-0.4415730743951798,0.9963210371848967
-0.40517675175947176,0.9973576291787305
-0.36878042912376374,0.9980849234661106
-0.3323841064880557,0.9986521339565401
-0.2959877838523477,0.9990414735614691
-0.2595914612166397,0.9993369368657172
-0.22319513858093165,0.9995464292419735
-0.1867988159452234,0.9997015721809934
-0.15040249330951538,0.9998073065407076
-0.11400617067380736,0.9998735140369772
-0.07760984803809934,0.9999021710129745
-0.041213525402391316,0.9999357688469024
-0.004817202766683293,0.9999604731365552
0.03157911986902473,0.9999743075387608
0.06797544250473275,0.9999822129114497
0.10437176514044078,0.9999871537693803
0.1407680877761488,0.9999920946273109
0.17716441041185682,0.9999970354852414
0.21356073304756507,0.9999990118284137
0.2499570556832731,0.9999990118284137
0.2863533783189809,0.9999999999999998
