name,First-order Sobol indices,Total-order Sobol indices  
alpha,0.327802,0.327802  
Q,0.266612,0.266612  
phi,0.131693,0.131693  
f_supercritical,0.073454,0.073454  
h_evaporation,0.060211,0.060211  
h_supercritical,0.040605,0.040605  
h_condensation,0.026537,0.026537  
gamma,0.022214,0.022214  
T3_prime,0.011362,0.011362  
f_single_phase,0.011274,0.011274  
f_condensation,0.008268,0.008268  
beta,0.007915,0.007915  
T5_prime,0.005790,0.005790  
eta_is,0.002580,0.002580  
f_evaporation,0.002564,0.002564  
h_single_phase,0.000918,0.000918  
T1_prime,0.000202,0.000202  
