log_A_evap_LT,probability density
-3.7132057125368343,1.3802488650104857e-05
-3.641611986857031,1.3802488650104857e-05
-3.5700182611772266,1.3802488650104771e-05
-3.4984245354974224,1.3802488650104857e-05
-3.426830809817619,1.3802488650104857e-05
-3.3552370841378147,4.1407465950314314e-05
-3.2836433584580105,6.901244325052428e-05
-3.212049632778207,0.00011041990920083886
-3.140455907098403,0.00017943235245136314
-3.0688621814185995,0.00023464230705178257
-2.997268455738795,0.000303654750302305
-2.925674730058991,0.00048308710275367
-2.8540810043791875,0.0008419518076563964
-2.7824872786993833,0.0010489891374079628
-2.710893553019579,0.001463063796911115
-2.6392998273397756,0.0021807932067165674
-2.5677061016599714,0.002829510173271496
-2.496112375980168,0.004044129174480723
-2.4245186503003637,0.00572803278979348
-2.3529249246205595,0.0073153189845555746
-2.281331198940756,0.008847395224717213
-2.209737473260952,0.011883942727740208
-2.1381437475811476,0.016383554027674465
-2.066550021901344,0.01977896623560026
-1.9949562962215401,0.025893468707596713
-1.923362570541736,0.03127643928113751
-1.8517688448619323,0.040248056903705635
-1.7801751191821282,0.049399106878725285
-1.7085813935023244,0.06012364055985675
-1.6369876678225204,0.07280812762930267
-1.5653939421427163,0.08717651831406227
-1.4938002164629125,0.10441582663804325
-1.4222064907831087,0.11944673677800743
-1.3506127651033049,0.1415445211068253
-1.2790190394235008,0.16792107691717467
-1.2074253137436968,0.18789327799387742
-1.135831588063893,0.21478052588428168
-1.064237862384089,0.24179199617253536
-0.9926441367042849,0.2731512503855751
-0.921050411024481,0.29842360710391713
-0.8494566853446772,0.3279057228605411
-0.7778629596648734,0.35961003928983193
-0.7062692339850694,0.3875876837835921
-0.6346755083052653,0.41490280882215197
-0.5630817826254615,0.4393746211987879
-0.49148805694565745,0.4639016435300214
-0.4198943312658534,0.4842189068229786
-0.3483006055860496,0.49771774072278113
-0.27670687990624576,0.5108439074290309
-0.20511315422644194,0.520464242018154
-0.1335194285466379,0.5209749340982046
-0.061925702866833854,0.5153987286835654
0.009668022812969967,0.5104436352581778
0.08126174849277401,0.5033353536033707
0.15285547417257805,0.491382398432383
0.22444919985238188,0.47127217246918024
0.2960429255321859,0.4510239216194736
0.36763665121198974,0.4280427780170545
0.43923037689179356,0.4027704212987073
0.5108241025715978,0.3703897829255615
0.5824178282514016,0.34420646195631704
0.6540115539312055,0.3146967412223888
0.7256052796110093,0.2838757840667084
0.7971990052908131,0.2561879918345947
0.8687927309706174,0.2284725946251843
0.9403864566504212,0.2016819641553334
1.011980182330225,0.17756901648359788
1.0835739080100288,0.15352508125511727
1.1551676336898327,0.12629277114845866
1.226761359369637,0.11272492480540566
1.2983550850494407,0.09594109860687945
1.3699488107292446,0.07955754457920391
1.4415425364090488,0.06590688330425028
1.5131362620888527,0.05347084103050655
1.5847299877686565,0.04472006322633946
1.6563237134484607,0.03456143157986235
1.7279174391282646,0.0276463847661602
1.7995111648080684,0.02233242663586952
1.8711048904878722,0.017832815335935583
1.942698616167676,0.013816291138754875
2.0142923418474803,0.010131026669176903
2.085886067527284,0.008171073280862126
2.157479793207088,0.0059350701195450516
2.2290735188868918,0.00461003120913505
2.3006672445666956,0.0037128694468781835
2.3722609702465,0.0024568429797186494
2.4438546959263037,0.0018219285018138524
2.5154484216061075,0.0012698289558096389
2.5870421472859118,0.0008833592736067053
2.6586358729657156,0.0005244945687039878
2.7302295986455194,0.0005797045233044004
2.8018233243253237,0.00023464230705178113
2.8734170500051275,0.00013802488650104943
2.9450107756849313,0.0001518273751511525
3.016604501364735,0.00015182737515115436
3.088198227044539,0.00011041990920083817
3.159791952724343,2.7604977300209542e-05
3.231385678404147,4.140746595031482e-05
3.302979404083951,0.0
3.3745731297637547,4.140746595031482e-05
