log_A_recup_MT,probability density
-3.7087639143039213,3.454293103465738e-05
-3.6515498009374108,0.0
-3.5943356875709007,1.7271465517328554e-05
-3.53712157420439,1.727146551732869e-05
-3.47990746083788,0.0
-3.4226933474713697,1.7271465517328554e-05
-3.3654792341048596,1.7271465517328554e-05
-3.308265120738349,0.00010362879310397214
-3.251051007371839,3.454293103465738e-05
-3.1938368940053286,8.635732758664278e-05
-3.1366227806388185,0.00024180051724259977
-3.079408667272308,0.00027634344827725903
-3.022194553905798,0.00044905810345054594
-2.9649804405392874,0.0007426730172451279
-2.9077663271727774,0.000656315689658485
-2.850552213806267,0.001174459655178351
-2.793338100439757,0.00145080310345561
-2.7361239870732463,0.0018135038793194985
-2.6789098737067363,0.0022798334482873692
-2.621695760340226,0.0027461630172552617
-2.5644816469737157,0.003834265344846969
-2.5072675336072052,0.0048878247414039806
-2.450053420240695,0.006114098793134309
-2.3928393068741847,0.008324846379352428
-2.3356251935076746,0.010103807327637283
-2.278411080141164,0.01316085672420436
-2.221196966774654,0.0161488202587022
-2.1639828534081436,0.020328514913895868
-2.1067687400416335,0.026097184396683647
-2.049554626675123,0.032643069827750976
-1.992340513308613,0.04053612956917028
-1.9351263999421024,0.049586377500250474
-1.8779122865755924,0.061780032155484485
-1.820698173209082,0.0761498914659019
-1.7634840598425716,0.09533848965565363
-1.7062699464760613,0.11542520405230763
-1.6490558331095513,0.14197144655244182
-1.591841719743041,0.17287009836294148
-1.5346276063765305,0.2081384309493264
-1.4774134930100202,0.25418415801852634
-1.4201993796435102,0.30829565948431714
-1.362985266277,0.3676404150018556
-1.3057711529104894,0.42796964405388427
-1.2485570395439791,0.5012352007783959
-1.191342926177469,0.5722209240546168
-1.1341288128109588,0.6498561615550041
-1.0769146994444483,0.7207037131070859
-1.019700586077938,0.7899968327626142
-0.962486472711428,0.8596181102629662
-0.9052723593449177,0.905007521642499
-0.8480582459784072,0.9357507302633438
-0.7908441326118969,0.9553020292289671
-0.7336300192453868,0.9581518210393264
-0.6764159058788766,0.9282203712977886
-0.6192017925123661,0.880620212332031
-0.5619876791458558,0.8303775191421288
-0.5047735657793457,0.7453846373313542
-0.44755945241283546,0.6700637762102786
-0.39034533904632496,0.5877825144857254
-0.3331312256798147,0.5064339118991118
-0.2759171123133046,0.4222009745710998
-0.21870299894679435,0.35019623482935375
-0.16148888558028385,0.2785887387945096
-0.10427477221377357,0.2240109077597531
-0.047060658847263515,0.17679072103537646
0.010153454519246763,0.13846533905242303
0.06736756788575726,0.10661675663846917
0.12458168125226754,0.08022595732799176
0.1817957946187776,0.05989744241409589
0.2390099079852881,0.04369680775884091
0.2962240213517986,0.0337139006898256
0.35343813471830865,0.023627364827705645
0.4106522480848187,0.018445925172507042
0.46786636145132876,0.014162601724209526
0.5250804748178393,0.010000178534533156
0.5822945881843498,0.007737616551763252
0.6395087015508598,0.005302339913819908
0.6967228149173703,0.004576938362092032
0.7539369282838808,0.0028497918103592337
0.8111510416503909,0.0018825897413888271
0.8683651550169009,0.0011571881896610223
0.925579268383411,0.0007426730172451336
0.9827933817499215,0.0008981162069010779
1.040007495116432,0.0004836010344852033
1.097221608482942,0.00046632956896787463
1.1544357218494525,0.00031088637931191154
1.211649835215963,0.00020725758620794427
1.268863948582473,6.908586206931476e-05
1.3260780619489831,0.00013817172413862951
1.3832921753154932,8.635732758664344e-05
1.4405062886820037,0.00010362879310397054
1.4977204020485142,1.727146551732869e-05
1.5549345154150243,3.454293103465738e-05
1.6121486287815348,0.0
1.6693627421480453,3.454293103465738e-05
1.7265768555145553,3.454293103465738e-05
1.7837909688810654,0.0
1.8410050822475754,0.0
1.898219195614086,0.0
1.9554333089805964,1.727146551732862e-05
