log_A_evap_LT,cumulative probability
-3.7132057125368343,9.881715861142128e-07
-3.641611986857031,1.9763431722284257e-06
-3.5700182611772266,2.9645147583426385e-06
-3.4984245354974224,3.952686344456851e-06
-3.426830809817619,4.940857930571065e-06
-3.3552370841378147,7.905372688913703e-06
-3.2836433584580105,1.2846230619484767e-05
-3.212049632778207,2.075160330839847e-05
-3.140455907098403,3.3597833927883234e-05
-3.0688621814185995,5.039675089182486e-05
-2.997268455738795,7.213652578633754e-05
-2.925674730058991,0.00010672253130033498
-2.8540810043791875,0.00016700099805330197
-2.7824872786993833,0.00024210203859798216
-2.710893553019579,0.0003468482267260887
-2.6392998273397756,0.0005029793373321344
-2.5677061016599714,0.0007055545124855481
-2.496112375980168,0.0009950887872170124
-2.4245186503003637,0.0014051799954544106
-2.3529249246205595,0.0019289109360949436
-2.281331198940756,0.002562328922794154
-2.209737473260952,0.003413144658438491
-2.1381437475811476,0.0045861043311560615
-2.066550021901344,0.006002154214057729
-1.9949562962215401,0.007855964109607993
-1.923362570541736,0.0100951609237428
-1.8517688448619323,0.012976669268851845
-1.7801751191821282,0.016513335375554612
-1.7085813935023244,0.020817810804668123
-1.6369876678225204,0.026030415921420594
-1.5653939421427163,0.03227170765931796
-1.4938002164629125,0.03974722570827198
-1.4222064907831087,0.048298862614504376
-1.3506127651033049,0.05843256223010563
-1.2790190394235008,0.07045465774677115
-1.2074253137436968,0.08390663754854392
-1.135831588063893,0.09928357560006719
-1.064237862384089,0.11659436544561597
-0.9926441367042849,0.13615028113481623
-0.921050411024481,0.15751553899819162
-0.8494566853446772,0.18099153136950696
-0.7778629596648734,0.20673735387412667
-0.7062692339850694,0.2344862001837999
-0.6346755083052653,0.2641906380623931
-0.5630817826254615,0.29564710416316686
-0.49148805694565745,0.32885955117246557
-0.4198943312658534,0.3635265867565244
-0.3483006055860496,0.3991600541518029
-0.27670687990624576,0.435733272725476
-0.20511315422644194,0.47299524689467076
-0.1335194285466379,0.5102937834125517
-0.061925702866833854,0.5471930986096425
0.009668022812969967,0.5837376602073183
0.08126174849277401,0.6197733134381453
0.15285547417257805,0.6549532100753974
0.22444919985238188,0.6886933407116811
0.2960429255321859,0.7209838236311352
0.36763665121198974,0.7516290008597092
0.43923037689179356,0.780464835914108
0.5108241025715978,0.8069824204274829
0.5824178282514016,0.8316254434419992
0.6540115539312055,0.8541557556054032
0.7256052796110093,0.8744794806170143
0.7971990052908131,0.8928209334268802
0.8687927309706174,0.9091781376918288
0.9403864566504212,0.9236173009081297
1.011980182330225,0.9363301283634891
1.0835739080100288,0.9473215609158374
1.1551676336898327,0.9563633309287825
1.226761359369637,0.9644337282725772
1.2983550850494407,0.9713025089676571
1.3699488107292446,0.9769983299900195
1.4415425364090488,0.9817168493137148
1.5131362620888527,0.9855450260383213
1.5847299877686565,0.9887467019773313
1.6563237134484607,0.9912210836289612
1.7279174391282646,0.993200391315948
1.7995111648080684,0.9947992529422808
1.8711048904878722,0.9960759706315403
1.942698616167676,0.9970651303892406
2.0142923418474803,0.9977904483334484
2.085886067527284,0.998375445912428
2.157479793207088,0.9988003596944571
2.2290735188868918,0.9991304090042192
2.3006672445666956,0.9993962271608839
2.3722609702465,0.9995721217032123
2.4438546959263037,0.9997025603525794
2.5154484216061075,0.9997934721385019
2.5870421472859118,0.9998567151200132
2.6586358729657156,0.9998942656402855
2.7302295986455194,0.9999357688469023
2.8018233243253237,0.9999525677638662
2.8734170500051275,0.9999624494797273
2.9450107756849313,0.9999733193671746
3.016604501364735,0.9999841892546218
3.088198227044539,0.9999920946273108
3.159791952724343,0.999994070970483
3.231385678404147,0.9999970354852413
3.302979404083951,0.9999970354852413
3.3745731297637547,0.9999999999999997
