log_A_evap_MT,cumulative probability
-2.145634150274777,3.952686344456851e-06
-2.1073578530084185,7.905372688913703e-06
-2.06908155574206,1.3834402205598979e-05
-2.0308052584757013,1.5810745377827405e-05
-1.9925289612093429,2.6680632825083746e-05
-1.9542526639429842,3.5574177100111664e-05
-1.9159763666766256,5.533760882239593e-05
-1.8777000694102672,8.30064132335939e-05
-1.8394237721439086,0.00011166338923090607
-1.80114747487755,0.00016403648329495936
-1.7628711776111916,0.00023913752383963952
-1.724594880344833,0.00033597833927883237
-1.6863185830784744,0.0005069320236765912
-1.648042285812116,0.0007470577191023449
-1.6097659885457574,0.0010909414310700909
-1.5714896912793987,0.0016186250580550805
-1.5332133940130404,0.002313309683093372
-1.4949370967466817,0.003264918920521359
-1.4566607994803231,0.004601915076533889
-1.4183845022139647,0.006362836842989416
-1.380108204947606,0.008779904542624782
-1.3418319076812475,0.011878810636678953
-1.303555610414889,0.01585620127078866
-1.2652793131485305,0.020703182900678872
-1.2270030158821719,0.026651975849086434
-1.1887267186158135,0.03385574671185905
-1.1504504213494546,0.042257181537002086
-1.1121741240830962,0.05204304475429114
-1.0738978268167378,0.06324396968289574
-1.035621529550379,0.0757423639040683
-0.9973452322840206,0.08986926489915709
-0.9590689350176621,0.10550510390624228
-0.9207926377513035,0.12260738954712096
-0.882516340484945,0.1413194067017797
-0.8442400432185865,0.161377313556726
-0.8059637459522279,0.1831269701670998
-0.7676874486858694,0.20588456179531012
-0.7294111514195109,0.23017876023992803
-0.6911348541531522,0.25567062264691637
-0.6528585568867936,0.28218030178760234
-0.6145822596204351,0.3101682856211152
-0.5763059623540766,0.3386977874838186
-0.538029665087718,0.3683202071207644
-0.4997533678213595,0.3986343468679901
-0.461477070555001,0.4300127474134608
-0.42320077328864236,0.4617389843572437
-0.38492447602228386,0.49398203504056437
-0.34664817875592535,0.5265047382827553
-0.30837188148956673,0.5591499748016244
-0.27009558422320823,0.5920906746247417
-0.23181928695684972,0.6242714704981371
-0.1935429896904911,0.6561419804934927
-0.1552666924241326,0.6872960660889155
-0.11699039515777399,0.7174036779746433
-0.07871409789141537,0.746420348429301
-0.040437800625056974,0.7739636550490625
-0.002161503358698358,0.8002934869610757
0.03611479390766026,0.8250461970216506
0.07439109117401865,0.8480439143452867
0.11266738844037727,0.8692500765832977
0.1509436857067359,0.8886360267596863
0.18921998297309428,0.9059557101495102
0.2274962802394529,0.9215233653171535
0.2657725775058115,0.9353834599839914
0.3040488747721699,0.9472800577092204
0.3423251720385285,0.9575906400387361
0.38060146930488714,0.9661709339209658
0.41887776657124554,0.9732422897911991
0.45715406383760415,0.9791179580422342
0.49543036110396277,0.9837752107275906
0.5337066583703212,0.9874403391404881
0.5719829556366798,0.9901854798067135
0.6102592529030384,0.9924632153127068
0.6485355501693968,0.9941618822692371
0.6868118474357554,0.995519630028558
0.725088144702114,0.9965394231054279
0.7633644419684724,0.9973220550016303
0.801640739234831,0.9979742482484657
0.8399170365011897,0.9984821684437284
0.8781933337675483,0.9988408747294879
0.9164696310339069,0.999136338033736
0.9547459283002653,0.9993596648121978
0.9930222255666239,0.9995365475261123
1.0312985228329825,0.9996610571459628
1.069574820099341,0.9997401108728519
1.1078511173656995,0.9998073065407076
1.1461274146320581,0.9998636323211161
1.1844037118984165,0.9999041473561467
1.2226800091647752,0.9999308279889718
1.2609563064311338,0.999949603249108
1.2992326036974922,0.9999555322786247
1.3375089009638508,0.9999713430240025
1.3757851982302094,0.9999822129114497
1.4140614954965678,0.9999871537693803
1.4523377927629264,0.9999911064557248
1.490614090029285,0.9999940709704831
1.5288903872956434,0.9999970354852414
1.567166684562002,0.9999980236568276
1.6054429818283606,0.9999990118284137
1.6437192790947193,0.9999999999999998
