log_A_GasCooler,probability density
-4.552714485423712,2.1571893126801422e-05
-4.415289608482361,1.4381262084534281e-05
-4.277864731541012,1.4381262084534281e-05
-4.140439854599661,9.347820354947282e-05
-4.003014977658312,5.033441729586998e-05
-3.865590100716962,0.00014381262084534326
-3.728165223775612,0.00010066883459173996
-3.590740346834262,0.0001941470381412128
-3.453315469892912,0.00018695640709894565
-3.315890592951562,0.0005105348040009669
-3.178465716010212,0.0005968223765081746
-3.0410408390688626,0.0008844476181988583
-2.9036159621275126,0.0013015042186503524
-2.7661910851861626,0.001589129460341038
-2.6287662082448127,0.002265048778314149
-2.4913413313034627,0.0034730747934150286
-2.3539164543621127,0.004645147653304572
-2.2164915774207627,0.006392470996575488
-2.0790667004794128,0.00849932589195976
-1.9416418235380628,0.012231263402896406
-1.804216946596713,0.016344304359073265
-1.6667920696553633,0.02200333098933745
-1.5293671927140133,0.02899981499346338
-1.3919423157726634,0.038901313938665236
-1.2545174388313134,0.04962973545372781
-1.1170925618899634,0.06441367287662905
-0.9796676849486134,0.0819731938818454
-0.8422428080072637,0.1022004390037432
-0.704817931065914,0.12458487343832048
-0.567393054124564,0.15094572683927182
-0.429968177183214,0.1798520636291857
-0.29254330024186403,0.2100311421135809
-0.15511842330051406,0.23891590701036802
-0.017693546359164092,0.2652336166250658
0.11973133058218588,0.28862473940556077
0.25715620752353585,0.3074138583190048
0.3945810844648858,0.32055833186426913
0.5320059614062358,0.3325307325496439
0.6694308383475858,0.33863557830452873
0.8068557152889357,0.3349971189971416
0.9442805922302853,0.3319554820662647
1.0817054691716348,0.32156502021018657
1.2191303461129848,0.3090748940897685
1.3565552230543347,0.29576503603053206
1.4939800999956847,0.2800535072031783
1.6314049769370347,0.25621656529806275
1.7688298538783847,0.2379092186644506
1.9062547308197346,0.21714986684542537
2.0436796077610846,0.19391693794786025
2.1811044847024346,0.17756544295774476
2.3185293616437845,0.1562020781311691
2.4559542385851345,0.1382111192634167
2.5933791155264845,0.12244925601876715
2.7308039924678345,0.10618404860115886
2.8682288694091844,0.0924139901552173
3.005653746350534,0.07844259404009275
3.1430786232918835,0.0694543052372583
3.2805035002332334,0.05927956231245031
3.417928377174584,0.0498670262781223
3.555353254115934,0.04222338548019292
3.692778131057284,0.03592439268716641
3.830203007998634,0.029589446738929475
3.9676278849399838,0.02477172394061014
4.105052761881334,0.02011219502522132
4.242477638822683,0.017214370715187645
4.379902515764033,0.013863536649490958
4.517327392705383,0.01137557830886669
4.654752269646733,0.009671398751849242
4.792177146588083,0.007492637546042409
4.929602023529433,0.006183942696349701
5.067026900470783,0.005026251098544764
5.204451777412133,0.00403394401471184
5.341876654353483,0.003199830813808898
5.4793015312948326,0.0024016707681172094
5.6167264082361825,0.0021356174195533545
5.7541512851775325,0.0016394638776368975
5.8915761621188825,0.001387791791157567
6.029001039060232,0.0010426415011287285
6.166425916001582,0.000805350676733925
6.303850792942932,0.000762206890480312
6.441275669884282,0.00035953155211335933
6.578700546825631,0.0004530097556628328
6.716125423766981,0.000309197134817485
6.853550300708331,0.0002157189312680156
6.990975177649681,0.00015100325188760897
7.128400054591031,0.0001078594656340078
7.265824931532381,0.0001294313587608077
7.403249808473731,8.628757250720624e-05
7.540674685415081,7.909694146493804e-05
7.678099562356431,6.471567938040468e-05
7.815524439297781,7.909694146493804e-05
7.952949316239131,2.876252416906875e-05
8.09037419318048,3.595315521133547e-05
8.227799070121831,2.157189312680156e-05
8.365223947063182,1.4381262084534188e-05
8.502648824004531,0.0
8.64007370094588,2.157189312680156e-05
8.77749857788723,0.0
8.91492345482858,0.0
9.052348331769931,1.4381262084534188e-05
