h_single_phase,h_evaporation,h_condensation,f_single_phase,f_evaporation,f_condensation,beta,phi,gamma,eta_is,Q,T1_prime,T4_prime,log_A_evap,log_A_cond,log_A_recup
1.074507122951685,0.7876943886924379,1.0536681040522424,0.8756507483616891,0.760835851180845,1.1389266321297462,36.87754185697924,1.2431944457694797,0.569015586140051,0.6268653294319364,27798.45395151144,283.59090031725054,312.0561051000533,1.9594119098672864,1.011785294366652,-0.233189429639024
0.9792603548243224,0.936903201585196,1.0841176789552351,0.9159728439704544,0.910093746556934,1.2864124960705197,51.66757705179199,1.2317847883820303,0.4602851626968501,0.685929456538614,21069.806388269582,298.48325186534294,313.44634707859376,0.558538187100822,0.6483919664586869,-0.6608146375388966
1.097153280715104,0.9485928225209844,1.1624576864762917,1.1120940407684892,1.0007865549577275,0.7902148639271288,51.60109609638224,1.1054191985006965,0.5492732494402474,0.5936507775730129,27610.27902502028,281.5999108580303,310.3346673879953,0.5961755534221683,0.7468441258967842,-0.5914929797090916
1.2284544784612037,0.8796584096167572,1.1580703078052357,1.0915555398150196,1.0070470890647114,1.0844453855035856,49.23442898655892,1.1443944323865898,0.5693685697833779,0.7399922367900451,25412.665786761103,288.7277630690271,315.0090170286985,0.5416927330170722,0.6420975344656666,-0.5645028165944505
0.9648769937914996,0.9758071432500988,0.7933495948064364,0.9968647609053778,0.9324901792781136,0.902403614631726,50.818453334013,1.1462149593176143,0.5168487781633923,0.7072690028831105,29629.920038589946,291.1131146863624,306.42047745170044,0.6695181523232221,1.470485209535242,-0.4708233874655579
0.964879456457623,1.0606076285221808,0.8593262440127316,1.017599107496317,1.0934274898521248,0.9269311924352956,46.28173330042789,1.2343785487197456,0.6041824407491644,0.567882200462452,23418.721660386866,292.7992994108821,310.9716307330352,0.675663749014674,1.052677003819845,-0.4638528173734909
1.2368819223261087,1.2829278851815795,1.077255290081299,1.1916497343682635,0.8398569355926109,0.9111409113641696,37.55397176720858,1.1039421075508726,0.4713196506267544,0.6335161551569857,26326.21893133948,289.9429736697383,322.5382464467057,0.3603500205868,1.0411342595727904,-0.6794245256860062
1.1151152093729364,1.026186671924776,1.0770678926368311,0.9112642916746256,0.978643077246806,0.8704013845480276,40.37087980511758,1.1208217163969147,0.4650275563471618,0.7258236615124329,29320.28105510017,278.9454169483837,308.3126686540225,0.8030811890964454,1.0822982929789178,-0.5012805269708335
0.9295788421097572,1.0386325586084146,1.0772571529459072,1.0820646071755058,1.0180443447567848,1.007278244191724,35.44793150404277,1.259983217074638,0.5956377512407207,0.7389464044582821,21025.0972799068,285.27922616487984,316.28473329082584,1.222124877562134,0.867609673065379,-0.3399991762814415
1.0813840065378948,0.9888331126350748,1.577909723598208,0.969671102134916,1.0771658251088123,0.8753574825383443,57.25351684000885,1.135708932410867,0.5490982632412398,0.643480302249974,29372.28487236451,289.10423286769424,309.65380128449385,0.5582078502305732,0.692111936728041,-0.5343277258715823
0.9304873460781308,0.7121843177051438,1.085633576603975,0.967347819515917,1.1067422317133335,1.0405685238669755,47.50175384298362,1.2305492215703748,0.5876804792855472,0.6726822778421415,26878.857223008134,280.5073299828967,318.619462513732,1.4131328987376897,0.92621443130099,-0.2149903925725678
0.9301405369644616,0.9960229186826176,1.17033484602709,1.1648165277980784,0.8313036862243196,0.9924642835826296,42.0255425029092,1.1476365562093451,0.5369654677207493,0.583406789218415,20678.37059105172,285.7625386241836,305.767473214367,0.4430373330996778,0.6592078352595341,-0.7595894853032479
1.036294340734905,1.009034531491154,1.1431002645239805,1.1238124523482045,0.7698828743896566,0.9641577929700386,43.86017410932398,1.119888278551869,0.4992804066478214,0.7482337252273953,23009.635669468164,279.4140621758273,322.54642090157085,0.4332732298827945,0.7620119860514756,-0.653635697085982
0.7130079633013303,1.3694863168727929,1.0977086876958695,1.122026445400096,1.1916515232847764,0.8638654506937603,58.41850018835446,1.1486344381998908,0.61382046353484,0.5963343402766887,27081.72088645281,280.3215699431004,312.2257908276728,0.5024174088410275,1.0180047332341826,-0.4370318127168791
